,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
38,335,625,2,776,False,Wed Jun 09 21:15:30 +0000 2021,"Hey $GME tards I've got something to let you know.

THE BEST IS YET TO COME. https://t.co/1u2SOtcPxf https://t.co/qqfOCCRqzn",1402736133583278088,0.5319
56,306,111,2,607,False,Wed Jun 09 21:15:07 +0000 2021,Temple University Hospital Office of Graduate Medical Education cordially invites you to attend the GME Graduation Virtual Celebration. The celebration will be available to view live on YouTube. #TempleGME2021 #TempleGrad 🎉 🎓 https://t.co/KAnPo466Gd,1402736038850842631,0.7269
92,280,3,3,12,False,Wed Jun 09 21:14:27 +0000 2021,"Apes together strong.
$GME $AMC $DOGE $BTC $BB $NAKD $TSLA $SND https://t.co/TPmB682f2f",1402735870474473478,0.1027
65,279,464,1,13676,False,Wed Jun 09 21:14:58 +0000 2021,"RT @TaraBull808: Class Action Lawsuit 

In regard to damages done in January when the buy button was turned off.

$AMC $GME #AMC #GME",1402735999713689600,-0.0258
13,276,1093,7,60487,False,Wed Jun 09 21:16:01 +0000 2021,"RT @KongPosting: Although you all know I'm HEAVY $AMC bias, I see a bit of panic over the $GME vote results. 

If I am reading correctly, y…",1402736263808139265,-0.5719
14,255,1947,9,13283,False,Wed Jun 09 21:16:00 +0000 2021,"RT @GMEshortsqueeze: $GME New CEO &amp; CFO from Amazon!

WOAH! https://t.co/JCzaB6pIfp",1402736261526265857,0.3147
,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
38,26941,12,158,3833,False,Wed Jun 09 21:16:45 +0000 2021,"Conference is over. 10/10 hype. There was only one small figure in all of it that wasn't bullish. 

#GameStop has an amazing start with cutting loses and increasing profits. $AMC apes, get excited because what happens over here matters over there!
$GME #GME #GMESqueeze #GMEstock",1402736449863229445,0.5553
25,7399,6653,27,18979,False,Wed Jun 09 21:16:59 +0000 2021,"RT @rockstar_stocks: Conference is over. 10/10 hype. There was only one small figure in all of it that wasn't bullish. 

#GameStop has an a…",1402736506880544777,-0.3412
8,4879,165,67,6085,False,Wed Jun 09 21:17:10 +0000 2021,"Notice $GME posted a double beat and still dropped AH. I won’t even bother discussing fundamentals, it’s worth maybe $50 until we see a real game plan. https://t.co/cgV7zYfgVG",1402736553697312768,-0.296
56,2446,802,8,17213,False,Wed Jun 09 21:16:22 +0000 2021,"RT @adam09446554: @dailystocktalk With the news from GME today and ongoing, along with AMC’s news in the past hour, I gotta think Wall Stre…",1402736352630824964,0.0
53,2437,634,92,52541,False,Wed Jun 09 21:16:26 +0000 2021,u wana buy my gme shares? sure 150k each,1402736368913195008,0.8271
29,2052,595,55,69,False,Wed Jun 09 21:16:55 +0000 2021,"Considering the relatively low weekly options volume/open interest and reaction to earnings, is $GME is over??? https://t.co/KuXTOOUsnw",1402736491525193733,0.5775
9,2042,979,5,30826,False,Wed Jun 09 21:17:10 +0000 2021,"RT @CokeRatCramer: This dip is artificial, just like the tits I sniff off 

$GME $AMC",1402736553244438529,0.1531
52,1660,1862,7,49703,False,Wed Jun 09 21:16:27 +0000 2021,"RT @ElsaToDaMoon: I HAVE NOT SOLD 1 single share of either #AMC or #GME. I'M COMMITTED 100%. YALL ALREADY KNOW, WHEN I COMMIT ALL I DO IS W…",1402736371626778628,0.5964
37,1180,2632,21,1701,False,Wed Jun 09 21:16:46 +0000 2021,"$GME is DOWN -$26.31 during the AH 🤔

This is a WILD Stock! The only thing that's fun to watch! https://t.co/rkoV0MDhwA https://t.co/pZ6bjHt1G2",1402736450815283209,0.5972
59,1148,883,37,54534,False,Wed Jun 09 21:16:21 +0000 2021,"RT @Kr00ney: GameStop earnings call just ended. 12 minutes, no Q&amp;A. Is that a new record? $GME",1402736346863751169,-0.1027
42,1078,2791,1,8472,False,Wed Jun 09 21:16:36 +0000 2021,"RT @KongPosting: Although you all know I'm HEAVY $AMC bias, I see a bit of panic over the $GME vote results. 

If I am reading correctly, y…",1402736410017292294,-0.5719
2,905,913,21,11473,False,Wed Jun 09 21:17:19 +0000 2021,RT @rockstar_stocks: $gme reports operating loss of 40.8 million dollars compared to an operating loss of 108 million dollars last year fir…,1402736591257362434,-0.5574
39,563,1289,0,1008,False,Wed Jun 09 21:16:45 +0000 2021,"RT @davidbr813: Retweet! #HoldTheMarketAccountable In a merger doc, APEX discloses that they are being sued for massive market manipulation…",1402736448076501001,0.0
41,320,417,3,2668,False,Wed Jun 09 21:16:38 +0000 2021,"@Katniss_Amc And I go way back to 4.25 and gme before that.. I know the game. But that’s the beauty of a platform, to get others to learn so they themselves dont falll for its it’s same play by play as before",1402736419546804229,0.8225
60,263,199,4,1749,False,Wed Jun 09 21:16:20 +0000 2021,"Yeah, I called the top yesterday at 918am $GME https://t.co/iarKn7qOL5",1402736344326152199,0.4588
